site_name,component,state,country,operational_status,latitude,longitude
Allen Stagefield AL,Army Active,Alabama,United States,Active,31.2309993833,-85.6506347178
Louisville Stagefield AL,Army Active,Alabama,United States,Active,31.8157331822,-85.6497984957
White Sands Missile Range NM,Army Active,New Mexico,United States,Active,33.1594636742,-106.425696182
Fort Monroe,Army Active,Virginia,United States,Inactive,37.0130203962,-76.3043760544
MCB Camp Smith,MC Active,Hawaii,United States,Active,21.3866284869,-157.905641308
MC Trng Area Bellows,MC Active,Hawaii,United States,Active,21.3621462703,-157.718266082
Glenview,Navy Active,Illinois,United States,Active,42.0917332083,-87.836545042
ALF Orange,Navy Active,Texas,United States,Active,27.8965304593,-98.0434307225
McClellan AFB,AF Active,California,United States,Inactive,38.6628404569,-121.403205934
Saylor Creek Air Force Range,AF Active,Idaho,United States,Active,42.7402329675,-115.563336812
Laughlin AFB,AF Active,Texas,United States,Active,29.3567318395,-100.782932919
Buckley AFB,AF Active,Colorado,United States,Active,39.7066728959,-104.757676168
Tyndall AFB,AF Active,Florida,United States,Active,30.0454712012,-85.5513688862
Columbus Auxiliary Airfield,AF Active,Mississippi,United States,Active,32.9398358551,-88.5791426256
Goodfellow AFB,AF Active,Texas,United States,Active,31.4321781557,-100.404389232
Fort Richardson,AF Active,Alaska,United States,Active,61.2656445617,-149.641025468
Birch Lake Recreation Annex,AF Active,Alaska,United States,Active,64.3175377667,-146.646980929
Louisville IAP-Standiford FL Site 1,AF Guard,Kentucky,United States,Active,38.1779889015,-85.7237952525
Kelly AFB,AF Active,Texas,United States,Active,29.3820160313,-98.5645372905
NG Camp Joseph T Robinson,Army Guard,Arkansas,United States,Active,34.9000362492,-92.3068019391
NG Camp Ashland,Army Guard,Nebraska,United States,Active,41.0800682176,-96.3363620056
NG Bethel ARM FMS,Army Guard,Alaska,United States,Inactive,60.7955330346,-161.767465275
NG GUARNG Barrigada Complex,Army Guard,Guam,Guam,Active,13.4740733886,144.809884745
NG Volkstone,Army Guard,West Virginia,United States,Active,39.4547971565,-79.6692506335
NAVBASE Coronado,Navy Active,California,United States,Active,32.7000190451,-117.207088939
Finegayan South,Navy Active,Guam,Guam,Active,13.5499832925,144.830853077
Grand Forks Defense Fuel Support Point,AF Active,North Dakota,United States,Active,47.9486816236,-97.0860532381
